Валюта;Покупка;Продажа;Дата
USD;16,280;16,530;01-2015
EUR;19,750;20,130;01-2015
PLN;4,6750;5,5450;01-2015
GBP;24,515;25,730;01-2015
CHF;16,000;16,750;01-2015
USD;16,600;16,740;02-2015
EUR;18,700;18,900;02-2015
PLN;4,9250;5,7100;02-2015
GBP;24,060;25,310;02-2015
CHF;17,505;18,380;02-2015
USD;28,000;32,750;03-2015
EUR;30,910;37,000;03-2015
PLN;7,4250;9,0900;03-2015
GBP;42,100;51,085;03-2015
CHF;29,150;34,925;03-2015
USD;23,800;26,000;04-2015
EUR;25,300;28,200;04-2015
PLN;6,1800;7,1250;04-2015
GBP;34,750;39,400;04-2015
CHF;24,000;27,370;04-2015
USD;21,000;23,400;05-2015
EUR;23,200;25,700;05-2015
PLN;5,8000;6,5000;05-2015
GBP;32,625;36,000;05-2015
CHF;22,000;24,800;05-2015
USD;20,900;22,100;06-2015
EUR;22,500;24,300;06-2015
PLN;5,4500;6,1000;06-2015
GBP;31,500;34,500;06-2015
CHF;21,300;24,000;06-2015
USD;21,250;22,250;07-2015
EUR;23,500;25,000;07-2015
PLN;5,5000;6,0000;07-2015
GBP;32,600;35,000;07-2015
CHF;22,200;23,950;07-2015
USD;22,000;23,200;08-2015
EUR;24,000;25,550;08-2015
PLN;5,7700;6,2000;08-2015
GBP;33,900;36,400;08-2015
CHF;22,600;24,500;08-2015
USD;22,400;23,400;09-2015
EUR;24,900;26,500;09-2015
PLN;5,8000;6,3000;09-2015
GBP;33,940;36,260;09-2015
CHF;22,500;24,500;09-2015
USD;22,000;22,700;10-2015
EUR;24,275;25,500;10-2015
PLN;5,6500;6,1000;10-2015
GBP;32,500;34,600;10-2015
CHF;22,000;23,500;10-2015
USD;23,200;24,175;11-2015
EUR;25,400;26,600;11-2015
PLN;5,8000;6,2000;11-2015
GBP;34,500;37,000;11-2015
CHF;23,000;24,500;11-2015
USD;24,600;25,400;12-2015
EUR;25,800;27,000;12-2015
PLN;5,8776;6,3500;12-2015
GBP;35,550;38,200;12-2015
CHF;23,200;24,875;12-2015
USD;24,500;25,400;01-2016
EUR;26,430;27,800;01-2016
PLN;5,9000;6,5000;01-2016
GBP;35,000;37,500;01-2016
CHF;23,700;25,500;01-2016
USD;25,750;26,700;02-2016
EUR;27,800;29,000;02-2016
PLN;6,0750;6,5500;02-2016
GBP;35,850;38,000;02-2016
CHF;24,600;26,405;02-2016
USD;26,800;27,350;03-2016
EUR;29,200;30,000;03-2016
PLN;6,5000;6,9000;03-2016
GBP;36,800;38,300;03-2016
CHF;26,200;27,500;03-2016
USD;25,850;26,400;04-2016
EUR;29,000;29,900;04-2016
PLN;6,6000;7,0000;04-2016
GBP;36,300;38,000;04-2016
CHF;26,000;27,350;04-2016
USD;24,799;25,300;05-2016
EUR;27,900;28,700;05-2016
PLN;6,2000;6,5850;05-2016
GBP;35,000;37,000;05-2016
CHF;24,950;26,300;05-2016
USD;24,900;25,200;06-2016
EUR;27,600;28,120;06-2016
PLN;6,1000;6,4250;06-2016
GBP;35,250;36,900;06-2016
CHF;24,500;25,500;06-2016
USD;24,630;24,900;07-2016
EUR;27,000;27,700;07-2016
PLN;5,9000;6,3000;07-2016
GBP;32,000;33,900;07-2016
CHF;24,300;25,540;07-2016
USD;24,730;24,950;08-2016
EUR;27,200;27,750;08-2016
PLN;6,0000;6,3500;08-2016
GBP;32,000;33,100;08-2016
CHF;24,300;25,500;08-2016
USD;25,750;26,200;09-2016
EUR;28,500;29,250;09-2016
PLN;6,3100;6,7500;09-2016
GBP;32,800;34,400;09-2016
CHF;25,420;26,600;09-2016
USD;25,800;26,100;10-2016
EUR;28,750;29,300;10-2016
PLN;6,4000;6,8000;10-2016
GBP;32,600;34,000;10-2016
CHF;25,350;26,900;10-2016
USD;25,500;25,900;11-2016
EUR;27,815;28,475;11-2016
PLN;6,2000;6,6000;11-2016
GBP;30,200;31,610;11-2016
CHF;25,025;26,000;11-2016
USD;26,285;26,810;12-2016
EUR;27,800;28,600;12-2016
PLN;5,8000;6,6000;12-2016
GBP;31,500;33,150;12-2016
CHF;25,000;26,300;12-2016
USD;26,835;27,550;01-2017
EUR;27,900;28,800;01-2017
PLN;6,0750;6,5000;01-2017
GBP;32,200;33,825;01-2017
CHF;25,250;26,900;01-2017
USD;27,200;27,650;02-2017
EUR;29,000;29,750;02-2017
PLN;6,2350;6,8450;02-2017
GBP;33,000;34,700;02-2017
CHF;26,500;27,925;02-2017
USD;27,000;27,250;03-2017
EUR;28,400;28,900;03-2017
PLN;6,4000;6,7500;03-2017
GBP;32,800;33,880;03-2017
CHF;26,000;27,175;03-2017
USD;26,800;27,100;04-2017
EUR;28,500;29,100;04-2017
PLN;6,3000;6,9000;04-2017
GBP;32,700;34,000;04-2017
CHF;26,100;27,300;04-2017
USD;26,200;26,550;05-2017
EUR;28,350;28,950;05-2017
PLN;6,3500;6,8900;05-2017
GBP;32,200;34,125;05-2017
CHF;25,650;26,975;05-2017
USD;26,140;26,350;06-2017
EUR;29,100;29,580;06-2017
PLN;6,4000;7,0400;06-2017
GBP;32,800;34,100;06-2017
CHF;26,100;27,200;06-2017
USD;25,810;26,085;07-2017
EUR;29,200;29,800;07-2017
PLN;6,5500;7,0300;07-2017
GBP;32,800;34,000;07-2017
CHF;26,275;27,250;07-2017
USD;25,700;25,920;08-2017
EUR;30,050;30,600;08-2017
PLN;6,6100;7,1600;08-2017
GBP;33,025;34,400;08-2017
CHF;25,830;27,035;08-2017
USD;25,600;25,810;09-2017
EUR;30,200;30,700;09-2017
PLN;6,7300;7,1700;09-2017
GBP;32,100;33,470;09-2017
CHF;25,875;26,950;09-2017
USD;26,300;26,700;10-2017
EUR;31,000;31,700;10-2017
PLN;6,8800;7,3700;10-2017
GBP;33,800;35,950;10-2017
CHF;25,700;27,370;10-2017
USD;26,750;26,950;11-2017
EUR;31,000;31,450;11-2017
PLN;7,0150;7,4100;11-2017
GBP;34,500;35,800;11-2017
CHF;26,225;27,100;11-2017
USD;26,900;27,150;12-2017
EUR;31,850;32,350;12-2017
PLN;7,2000;7,7000;12-2017
GBP;35,300;36,700;12-2017
CHF;26,585;27,615;12-2017
USD;27,700;28,200;01-2018
EUR;32,950;33,820;01-2018
PLN;7,5000;8,1000;01-2018
GBP;36,500;38,000;01-2018
CHF;27,000;28,900;01-2018
USD;27,750;28,050;02-2018
EUR;34,300;34,900;02-2018
PLN;7,8500;8,4500;02-2018
GBP;38,400;39,850;02-2018
CHF;28,450;30,080;02-2018
USD;26,700;27,010;03-2018
EUR;32,500;33,045;03-2018
PLN;7,6000;8,0000;03-2018
GBP;36,000;37,650;03-2018
CHF;27,625;28,710;03-2018
USD;26,150;26,470;04-2018
EUR;32,100;32,700;04-2018
PLN;7,5000;7,8350;04-2018
GBP;35,600;37,435;04-2018
CHF;26,900;27,925;04-2018
USD;26,000;26,250;05-2018
EUR;31,500;32,000;05-2018
PLN;7,1000;7,5900;05-2018
GBP;35,500;36,800;05-2018
CHF;26,000;26,900;05-2018
USD;25,850;26,140;06-2018
EUR;30,150;30,700;06-2018
PLN;6,5000;7,1500;06-2018
GBP;33,700;34,950;06-2018
CHF;25,500;26,500;06-2018
USD;26,010;26,285;07-2018
EUR;30,200;30,860;07-2018
PLN;6,8000;7,0900;07-2018
GBP;33,500;35,350;07-2018
CHF;25,795;26,725;07-2018
USD;26,800;27,100;08-2018
EUR;31,200;31,800;08-2018
PLN;6,9500;7,4000;08-2018
GBP;34,375;35,625;08-2018
CHF;26,450;27,270;08-2018
USD;28,050;28,350;09-2018
